Runtime,Architecture,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB),WASM_Runtime
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754400234,1754400236,1754400277,2.181,35.034,4.016,40.555,1.64,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754400278,1754400281,1754400322,2.404,37.223,3.995,41.634,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754400324,1754400326,1754400363,2.611,32.944,3.962,36.216,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754400364,1754400366,1754400410,2.385,33.476,3.988,43.68,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754400412,1754400414,1754400458,2.401,32.916,4.07,43.824,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754400459,1754400462,1754400502,2.488,36.751,3.96,40.394,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754400504,1754400506,1754400548,2.604,38.097,3.992,41.668,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754400550,1754400552,1754400600,2.481,42.82,3.941,48.152,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754400602,1754400604,1754400643,2.488,32.419,3.958,39.092,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754400645,1754400647,1754400685,2.492,34.146,3.947,37.384,0.0,wasmtime
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754400686,1754400689,1754400725,2.389,31.811,3.987,36.053,0.0,wasmtime
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754400726,1754400728,1754400829,2.219,3.423,97.392,100.685,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754400830,1754400832,1754400938,2.146,8.815,97.562,106.422,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754400939,1754400941,1754401041,2.122,2.561,97.908,99.969,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754401042,1754401045,1754401144,2.159,1.74,97.732,99.805,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754401145,1754401148,1754401247,2.101,1.661,97.583,99.703,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754401248,1754401250,1754401350,2.05,2.386,97.433,99.66,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754401351,1754401353,1754401453,2.087,2.306,97.891,100.033,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754401454,1754401456,1754401557,2.126,2.493,98.558,100.847,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754401558,1754401561,1754401661,2.327,1.672,97.991,100.109,1.64,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754401662,1754401664,1754401763,2.189,2.131,97.31,99.409,1.64,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754401765,1754401766,1754401864,1.139,1.302,97.177,98.178,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754401866,1754401868,1754401968,2.693,1.721,98.524,99.505,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754401969,1754401972,1754402070,2.587,1.362,97.193,98.185,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754402072,1754402073,1754402172,1.13,1.231,97.757,98.761,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754402173,1754402176,1754402275,2.583,1.106,98.274,99.337,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754402277,1754402279,1754402378,2.588,1.599,97.209,98.199,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754402379,1754402382,1754402480,2.584,0.917,97.309,98.299,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754402481,1754402484,1754402583,2.586,1.353,97.634,98.617,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754402584,1754402585,1754402684,1.139,1.678,97.822,98.839,0.0,wamr
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754402686,1754402688,1754402786,2.694,1.648,97.018,98.026,0.0,wamr
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754402787,1754402790,1754402833,2.167,33.565,4.125,43.081,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754402834,1754402836,1754402880,2.119,24.934,4.128,43.987,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754402881,1754402883,1754402923,2.086,27.545,4.125,39.462,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754402924,1754402926,1754402968,2.4,33.494,4.119,42.186,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754402969,1754402971,1754403011,2.13,29.182,4.112,39.245,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754403012,1754403014,1754403054,2.354,31.114,4.168,39.912,1.64,wasmer
