Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399932,1754399933,1754399935,1.669,"2.040",".401",1.590,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399936,1754399937,1754399939,1.697,"1.946",".394",1.568,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399940,1754399941,1754399943,1.657,"1.843",".393",1.607,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399944,1754399945,1754399947,1.667,"1.753",".390",1.596,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399947,1754399949,1754399951,1.635,"1.594",".391",1.577,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399951,1754399953,1754399954,1.656,"1.466",".402",1.591,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399955,1754399957,1754399958,1.654,"1.315",".392",1.554,1.64
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399959,1754399961,1754399962,2.068,"1.527",".389",1.367,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399963,1754399965,1754399967,2.066,"1.692",".388",1.339,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399967,1754399969,1754399971,2.072,"1.873",".384",1.343,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399972,1754399974,1754399975,2.066,"1.027",".385",1.338,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399976,1754399978,1754399979,1.966,"1.088",".385",1.342,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399980,1754399982,1754399983,1.967,"1.150",".385",1.339,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399984,1754399986,1754399987,1.964,"1.179",".393",1.325,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399988,1754399990,1754399991,1.965,"1.244",".387",1.333,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399992,1754399994,1754399995,2.065,"1.379",".389",1.320,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399996,1754399998,1754399999,2.067,"1.535",".387",1.324,0.000
